0,"Lesson 1","Learn how to create new C# scripts in Unity.Learn how to attach scripts to GameObjects in Unity.Learn how to use the start and update functions and translate function to move objects"
0,"Lesson 2","Learn how to control Unity components using scripts.Learn how to create new objects using scripts.Learn how to use a for loop to create objects with scripts"
0,"Lesson 3","Learn how to create UI GameObjects and be able to place them in World Space.Learn how to use Unity’s Event System to click an object.Learn how to change scenes using code"
0,"Lesson 4","Learn how to use code to detect when the trigger is pulled.Learn how to create a simple rotation animation.Learn how to create a trigger system in the Animator"
0,"Lesson 5","Learn to to physics, colliders, and raycasting work in VR.Learn how to use Unity Audio and activate it within a script.Learn how to use array and random"
0,"Lesson 6","Learn how to see a waypoint system and understand how to use it.Learn how to see a flocking algorithm and understand how to control it.Learn how to see an ocean shader and understand how to control it"
1,"JSON Parsing","Discover the power of Web Apis and how they can be used in an Android App..Get practice reading API documentation and learn how to request data from an API using a web browser..Learn the essentials of JSON, a common HTTP Response format."
1,"HTTP Networking","Harness the essentials of the Hypertext Transfer Protocol to exchange data between an Android device and a web server..Learn about the components that are needed to compose an HTTP GET Request..Harness the HttpUrlConnection class to compose a request to the USGS API."
1,"Threads and Parallelism","Learn about how you can use threads to do time consuming work in the background while keeping an Android App's User Interface fast and responsive..Get a comprehensive overview of AsyncTask and Loaders, two important threading options exposed by the Android Framework..Discover how to persist user settings using Shared Preferences."
2,"Deploying a Hadoop cluster on Amazon EC2","Learn how to deploy a small Hadoop cluster on Amazon EC2 instances."
2,"Deploy a Hadoop cluster with Ambari","Use Apache Ambari to automatically deploy a larger, more powerful Hadoop cluster."
2,"On-demand Hadoop clusters","Use Amazon’s ElasticMapReduce to deploy a Hadoop cluster on-demand."
2,"Analyzing a big dataset with Hadoop and MapReduce","Use Hadoop and MapReduce to analyze a 150 GB dataset of Wikipedia page views."
3,"Ensuring App Quality with Continuous Integration","In this lesson, you’ll setup a continuous integration (CI) system with buddybuild so that you can test your apps like the pros. You'll learn how to configure a project with a simplified version of GitFlow, a commonly used Git branching structure well-suited for collaborative, professional projects. Also, you'll write unit and UI tests to verify the core functionality of an app."
3,"Continuous Deployment with One Seamless System","In this lesson, you'll continue to improve your development process by configuring a continuous deployment and delivery system using buddybuild. You'll learn how buddybuild quickly adds and provision devices on your behalf for testing so there is no delay in getting new builds in front of your users. Then, to complete the feedback loop, you'll utilize the buddybuild SDK to consolidate issues and requests into a single location with rich visual descriptions and debugging information."
4,"Creating Adaptive Layouts","In this lesson, you’ll learn how to take static interfaces and make them adaptive — so they can be displayed on any iPhone, iPad, or adaptation modes used for multi-tasking. You'll also learn the core mechanism for adaptivity, trail collections, and use them to layout your views. By the end of this lesson, you'll know how to create adaptive fonts, respond the text direction of a user's language, and even completely swap interfaces based on device orientation."
5,"VIPER Architecture","In this lesson, you’ll learn about increasingly popular VIPER architecture. VIPER is a structural design pattern that can be used as a replacement for the Model View Controller (MVC) pattern. VIPER addresses one of the most common problem with MVC, massive view controllers, by splitting up typical MVC responsibilities into more concise and coherent classes."
6,"What is VR?","Learn the basic history of VR development.Learn the physical principles of VR including display, optics and orientation tracking.Understand how comfort & presence play a role in VR development"
6,"Platforms & Paradigms","Learn the difference between native, game engines, and web platforms.Learn how tracking in VR works.Learn about the different platforms currently available for VR development"
6,"Hello World","Learn about to install and open a project in the Unity platform.Learn how to view, inspect, and gain a basic understanding of the Unity platform interface.Install and open an app in Google cardboard"
7,"Game Object","Create game objects in Unity that represent primitives and meshes.Establish parent and child relationships between game objects"
7,"Material","Learn how to assign a textures & material.Be able to identify the purpose of shaders and how to use them.Be able to identify the basic inputs to Unity’s Physically-Based Rendering system and use them"
7,"Animation","Learn how to keyframe and a script to trigger an animation.Learn how to adjust the speed of an animation with curves and the timeline.Learn how to differentiate an animation clip from an animation controller"
7,"Cameras","Be able to inspect the camera component and its properties.Create a simple VR camera and understand how stereo rendering is implemented.Learn how to implement Google’s VR Camera and understand the advantages of Google’s SDK compared to simple VR camera"
7,"Lights","Learn how to add a light gameobject to a scene and understand the difference between different types of lights.Be able to correctly choose between real-time and baked lighting for scene.Learn how to implement baked lighting and optimize lightmaps for mobile VR"
8,"Lesson 1: Variables","In this lesson, you’ll learn about one of the most basic building blocks of nearly every programming language — variables. Variables give developers the ability to store information that can be used to control the behavior of an application. By the end of this lesson, you'll be able to create and store values using variables."
8,"Lesson 2: Strings","In this lesson, you’ll learn how to represent a sequence of characters, or in other words, a string! For iOS apps, you'll use strings for labels, buttons, and any text in a user interface, but you'll also need them for behind-the-scenes processing. By the end of this lesson, you'll be able to create and manipulate strings using their powerful built-in features."
8,"Lesson 3: If Statements","In this lesson, you’ll learn how to control when and how Swift code is executed by using if statements. You'll also learn about the counterpart to if statements called "else" statements. By the end of this lesson, you'll be able to specify conditions for when Swift code should be executed based on logic that you define."
8,"Lesson 4: Functions","In this lesson, you’ll learn about functions — the construct which gives developers the ability to organize and reuse code. Understanding functions is a crucial step to becoming an iOS developer, and once you finish this lesson, you'll be able to create and use them in Swift."
11,"Introduction to Microservices","Learn how 12-factor apps and the microservices design pattern make modern applications easier to deploy and maintain."
11,"Building the Containers with Docker","Use Docker to build container images that package an application and its dependencies for deployment on a single machine."
11,"Kubernetes","The infrastructure to support an application at scale is as important as the application itself..See how Kubernetes allows you to focus on the big picture."
11,"Deploying Microservices","Go beyond the theoretical concepts and try out Kubernetes so that you can use it to manage real world apps."
12,"Progressive Web Apps","What is a Progressive Web App is and why you would want to make one?.Get started building out your very own app shell."
12,"Service Workers","Use Service Workers to enable your application to work offline..Identify which assets you should cache and how to use these cached assets in your application."
12,"Web App Manifest","Allow users to install your Progressive Web App to their device’s home screen..Properly configure a Web App Manifest."
13,"Overview","Learn why accessibility matters, and who it affects..Get a first look at the web accessibility guidelines (WAI – Web Accessibility Initiative)..Understand “POUR” means for accessibility, and locate checklists to help make your own sites accessible."
13,"Focus","Learn how to make a page usable for anyone navigating with the keyboard..An exploration of focusable elements..Learn how to manage focus in forms, in custom components, pop-ups, and off-screen content."
13,"Semantics Basics","Make a page work for people who are unable to use a standard user interface..Use a screen reader to try out ordinary form elements and add markup to make them work even better..Understand the accessibility tree the browser constructs from the DOM."
13,"Semantics Extras","Dive deeper into the screen-reader experience to add hyper-fast navigation..Learn how to arrange headings and label links so screen reader users can fly through your pages!.Call out “landmarks” into your page to speed up navigation even more."
13,"Semantics - ARIA","Move beyond the native elements of HTML into building custom controls and interactions..Accessible Rich Internet Applications (ARIA)..Learn how to add attributes to your custom interactions to make them as accessible as native elements."
13,"Style","Learn the third pillar of Accessibility (after Focus and Semantics): Styling..Highlight the focus, indicate ARIA states, zoomed in or out, and support limited color or contrast vision..Audit your page with the Chrome Accessibility Tools and correct any styling issues that pop up."
